Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
RG Sharma (IND),2007-2024,159,151,19,4231,121*,32.05,3003,140.89,5,32,12,383,205
Babar Azam (PAK),2016-2024,128,121,15,4223,122,39.83,3268,129.22,3,36,7,447,73
V Kohli (IND),2010-2024,125,117,31,4188,122*,48.69,3056,137.04,1,38,7,369,124
V Kohli (IND),2010-2024,125,117,31,4188,122*,48.69,3056,137.04,1,38,7,369,124
JC Buttler (ENG),2011-2025,137,126,23,3700,101*,35.92,2516,147.05,1,27,8,333,160
PR Stirling (IRE),2009-2025,151,148,11,3669,115*,26.78,2720,134.88,1,24,13,428,129
MJ Guptill (NZ),2009-2022,122,118,7,3531,105,31.81,2602,135.7,2,20,3,309,173
Mohammad Rizwan (PAK),2015-2024,106,93,21,3414,104*,47.41,2723,125.37,1,30,5,285,95
DA Warner (AUS),2009-2024,110,110,12,3277,100*,33.43,2300,142.47,1,28,6,337,122
AJ Finch (AUS),2011-2022,103,103,12,3120,172,34.28,2189,142.53,2,19,8,309,125
Virandeep Singh (MAS),2019-2025,95,92,17,2769,116*,36.92,2203,125.69,1,19,5,230,115
GJ Maxwell (AUS),2012-2024,116,106,17,2664,145*,29.93,1719,154.97,5,11,4,224,137
Muhammad Waseem (UAE),2021-2025,72,72,5,2660,112,39.7,1704,156.1,3,22,5,212,165
SA Yadav (IND),2021-2025,83,79,11,2598,117,38.2,1555,167.07,4,21,5,237,146
DA Miller (SA/World),2010-2024,130,114,36,2591,106*,33.21,1842,140.66,2,8,3,168,130
Q de Kock (SA),2012-2024,92,91,9,2584,100,31.51,1868,138.32,1,16,7,264,103
KS Williamson (NZ),2011-2024,93,90,13,2575,95,33.44,2092,123.08,,18,4,245,58
Shakib Al Hasan (BAN),2006-2024,129,127,17,2551,84,23.19,2105,121.18,,13,9,258,53
Syed Aziz (MAS),2019-2025,101,98,15,2533,126,30.51,1789,141.58,1,18,7,232,127
Mohammad Hafeez (PAK),2006-2021,119,108,13,2514,99*,26.46,2060,122.03,,14,7,251,76
EJG Morgan (ENG),2009-2022,115,107,21,2458,91,28.58,1805,136.17,,14,3,186,120
EJG Morgan (ENG),2009-2022,115,107,21,2458,91,28.58,1805,136.17,,14,3,186,120
Mahmudullah (BAN),2007-2024,141,130,26,2444,64*,23.5,2082,117.38,,8,5,184,77
Shoaib Malik (ICC/PAK),2006-2021,124,111,33,2435,75,31.21,1938,125.64,,9,2,196,69
Sikandar Raza (ZIM),2013-2025,105,100,7,2403,133*,25.83,1766,136.07,1,14,8,180,117
A Balbirnie (IRE),2015-2024,110,106,4,2392,83,23.45,1941,123.23,,12,6,254,68
N Pooran (WI),2016-2024,106,97,10,2275,98,26.14,1668,136.39,,13,3,152,149
RR Hendricks (SA),2014-2024,78,77,2,2271,117,30.28,1724,131.72,1,17,5,250,63
KL Rahul (IND),2016-2022,72,68,8,2265,110*,37.75,1628,139.12,2,22,5,191,99
RD Berrington (SCOT),2008-2025,99,90,17,2241,100,30.69,1709,131.12,1,10,10,190,76
Mohammad Nabi (AFG),2010-2024,132,124,25,2237,89,22.59,1642,136.23,,6,8,156,109
HG Munsey (SCOT),2015-2025,78,76,5,2220,132,31.26,1524,145.66,2,12,5,242,103
S Ssesazi (UGA),2021-2024,88,86,10,2204,100*,29,1789,123.19,1,17,8,237,73
Litton Das (BAN),2015-2025,101,99,3,2161,83,22.51,1726,125.2,,11,6,216,65
Nizakat Khan (HKG),2014-2025,108,105,7,2160,81,22.04,1777,121.55,,10,8,176,72
BB McCullum (NZ),2005-2015,71,70,10,2140,123,35.66,1571,136.21,2,13,3,199,91
AD Hales (ENG),2011-2022,75,75,8,2074,116*,30.95,1499,138.35,1,12,5,225,70
MP O'Dowd (NED),2015-2025,80,78,5,2074,133*,28.41,1711,121.21,1,14,2,216,50
Babar Hayat (HKG),2014-2025,88,84,13,2068,122,29.12,1591,129.98,2,10,7,126,126
R Sandaruwan (KUW),2019-2025,75,75,3,2061,103,28.62,1404,146.79,2,12,7,177,120
MDKJ Perera (SL),2013-2025,77,76,3,2056,101,28.16,1533,134.11,1,15,4,199,65
Mohammad Shahzad (AFG),2010-2023,73,73,3,2048,118*,29.25,1550,132.12,1,12,4,229,76
KJ O'Brien (IRE),2008-2021,110,103,10,1973,124,21.21,1507,130.92,1,5,12,165,82
JP Duminy (SA),2007-2019,81,75,25,1934,96*,38.68,1532,126.24,,11,6,138,71
GD Phillips (NZ),2017-2025,83,74,12,1929,108,31.11,1372,140.59,2,10,3,138,91
BKG Mendis (SL),2016-2025,78,78,3,1920,86,25.6,1458,131.68,,15,6,165,82
LRPL Taylor (NZ),2006-2020,102,94,21,1909,63,26.15,1560,122.37,,7,6,121,71
CH Gayle (WI),2006-2021,79,75,7,1899,117,27.92,1381,137.5,2,14,4,158,124
CH Gayle (WI),2006-2021,79,75,7,1899,117,27.92,1381,137.5,2,14,4,158,124
DJ Malan (ENG),2017-2023,62,60,8,1892,103*,36.38,1428,132.49,1,16,2,194,62
TM Dilshan (SL),2006-2016,80,79,12,1889,104*,28.19,1567,120.54,1,13,10,223,33
R Powell (WI),2017-2025,95,83,12,1875,107,26.4,1317,142.36,1,9,2,113,123
Fakhar Zaman (PAK),2017-2025,93,85,3,1849,91,22.54,1394,132.63,,11,6,172,76
Najibullah Zadran (AFG),2012-2024,107,95,33,1830,73,29.51,1328,137.8,,8,6,126,97
DS Airee (NEP),2018-2025,82,71,16,1823,110*,33.14,1292,141.09,1,9,1,135,76
HH Pandya (IND),2016-2025,114,90,25,1812,71*,27.87,1279,141.67,,5,3,135,95
E Lewis (WI),2016-2025,65,64,4,1782,125*,29.7,1155,154.28,2,13,6,135,136
Muhammad Tanveer (QAT),2019-2024,61,57,16,1781,88*,43.43,1305,136.47,,13,2,129,101
S Dhawan (IND),2011-2021,68,66,3,1759,92,27.92,1392,126.36,,11,2,191,50
Tamim Iqbal (BAN/ICC/World),2007-2020,78,78,5,1758,103*,24.08,1503,116.96,1,7,6,188,45
CO Obuya (KENYA),2007-2024,75,70,12,1742,96*,30.03,1460,119.31,,9,6,127,84
MS Chapman (HKG/NZ),2014-2025,86,77,14,1739,104*,27.6,1299,133.87,1,9,3,149,66
P Nissanka (SL),2021-2025,62,61,3,1734,90,29.89,1440,120.41,,14,5,182,41
C Munro (NZ),2012-2020,65,62,7,1724,109*,31.34,1102,156.44,3,11,5,132,107
Meet Bhavsar (KUW),2019-2025,69,67,7,1695,89,28.25,1295,130.88,,12,4,141,58
SC Williams (ZIM),2006-2024,81,80,8,1691,66,23.48,1338,126.38,,11,6,161,42
Umar Akmal (PAK),2009-2019,84,79,14,1690,94,26,1377,122.73,,8,10,122,55
Rahmanullah Gurbaz (AFG),2019-2024,66,66,,1683,100,25.5,1252,134.42,1,10,8,128,95
AB de Villiers (SA),2006-2017,78,75,11,1672,79*,26.12,1237,135.16,,10,5,140,60
JM Bairstow (ENG),2011-2024,80,72,16,1671,90,29.83,1215,137.53,,10,6,148,76
Ahmed Faiz (MAS),2019-2025,90,77,7,1669,105*,23.84,1367,122.09,1,6,6,129,62
H Masakadza (ZIM),2006-2019,66,66,2,1662,93*,25.96,1418,117.2,,11,1,151,65
TP Ura (PNG),2015-2024,60,59,8,1634,107*,32.03,1068,152.99,1,14,4,123,95
MR Marsh (AUS),2011-2024,65,62,11,1629,92*,31.94,1203,135.41,,9,2,139,76
RR Patel (KENYA),2008-2024,82,70,16,1624,120,30.07,1155,140.6,1,8,3,125,94
MS Dhoni (IND),2006-2019,98,85,42,1617,56,37.6,1282,126.13,,2,1,116,52
MN Samuels (WI),2007-2018,67,65,10,1611,89*,29.29,1386,116.23,,10,,144,69
SK Raina (IND),2006-2018,78,66,11,1605,101,29.18,1190,134.87,1,5,3,145,58
Faisal Khan (KSA),2019-2025,56,56,5,1597,101,31.31,923,173.02,1,9,6,168,95
MG Erasmus (NAM),2019-2025,68,65,16,1583,100*,32.3,1283,123.38,1,11,3,125,56
KA Pollard (WI),2008-2022,101,83,21,1569,75*,25.3,1161,135.14,,6,3,94,99
Abdul Waheed (KSA),2020-2025,55,52,7,1559,110,34.64,1200,129.91,1,8,1,152,52
K Bhurtel (NEP),2021-2025,61,59,6,1553,104*,29.3,1198,129.63,1,11,5,150,65
Anshuman Rath (HKG),2015-2025,61,60,6,1550,97,28.7,1316,117.78,,8,1,154,28
TL Seifert (NZ),2018-2025,66,63,8,1540,97*,28,1078,142.85,,10,5,131,80
K Kadowaki-Fleming (JPN),2022-2025,39,39,4,1532,114,43.77,1038,147.59,2,10,,114,79
F du Plessis (SA/World),2012-2020,50,50,7,1528,119,35.53,1137,134.38,1,10,,140,50
LMP Simmons (WI),2007-2021,68,67,10,1527,91*,26.78,1264,120.8,,9,6,140,68
JJ Roy (ENG),2014-2022,64,64,1,1522,78,24.15,1106,137.61,,8,7,153,69
Mushfiqur Rahim (BAN),2006-2022,102,93,16,1500,72*,19.48,1304,115.03,,6,8,126,37
BA King (WI),2019-2024,63,61,5,1499,85*,26.76,1118,134.07,,11,5,165,62
KJ Coetzer (SCOT),2008-2021,70,68,2,1495,89,22.65,1254,119.21,,6,4,158,48
DPMD Jayawardene (SL),2006-2014,55,55,8,1493,100,31.76,1121,133.18,1,9,4,173,33
Riazat Ali Shah (UGA),2019-2024,72,63,17,1484,98*,32.26,1232,120.45,,4,4,108,63
DJ Mitchell (NZ),2019-2025,75,70,14,1473,72*,26.3,1065,138.3,,8,2,101,56
Ahmed Shehzad (PAK),2009-2019,59,59,2,1471,111*,25.8,1282,114.74,1,7,2,157,33
SR Watson (AUS),2006-2016,58,56,6,1462,124*,29.24,1006,145.32,1,10,3,115,83
Soumya Sarkar (BAN),2015-2024,87,86,4,1462,68,17.82,1197,122.13,,5,13,145,55
MD Shanaka (SL),2015-2024,102,94,20,1456,74*,19.67,1189,122.45,,5,13,107,72
CR Ervine (ZIM),2010-2024,71,70,4,1449,70,21.95,1370,105.76,,9,5,143,30
VP Thamotharam (MLT),2020-2025,66,63,8,1445,104*,26.27,995,145.22,1,9,3,100,90
RK Paudel (NEP),2019-2025,67,63,12,1445,61,28.33,1199,120.51,,7,1,114,44
HT Tector (IRE),2019-2025,85,77,13,1443,64*,22.54,1205,119.75,,5,5,118,35
J Charles (WI),2011-2025,63,62,,1433,118,23.11,1100,130.27,1,5,7,155,67
II Selemani (TAN),2021-2024,63,62,4,1426,81,24.58,963,148.07,,7,6,158,78
Shahid Afridi (ICC/PAK),2006-2018,99,91,12,1416,54*,17.92,944,150,,4,8,103,73
AD Mathews (SL),2009-2024,90,73,22,1416,81*,27.76,1175,120.51,,6,1,92,50
DP Conway (NZ),2020-2024,50,46,9,1408,99*,38.05,1102,127.76,,10,1,135,37
Haider Butt (BHR),2021-2024,63,59,14,1408,79*,31.28,1161,121.27,,8,2,92,62
RP Burl (ZIM),2018-2025,90,82,25,1407,61,24.68,1166,120.66,,3,2,92,59
Jatinder Singh (OMA),2015-2025,64,64,7,1399,73*,24.54,1180,118.55,,8,4,147,29
KC Sangakkara (SL),2006-2014,56,53,9,1382,78,31.4,1156,119.55,,8,2,139,20
Asghar Afghan (AFG),2010-2021,75,68,5,1382,62,21.93,1247,110.82,,4,5,87,69
Aasif Sheikh (NEP),2021-2025,60,59,2,1373,64*,24.08,1161,118.26,,7,3,129,52
Zeeshan Maqsood (OMA),2015-2024,73,62,10,1369,102*,26.32,1149,119.14,1,5,4,137,49
AK Markram (SA),2019-2024,57,53,8,1367,70,30.37,950,143.89,,9,2,123,56
LJ Tucker (IRE),2016-2025,78,72,8,1364,94*,21.31,1112,122.66,,9,7,131,30
Sami Sohail (MWI),2019-2024,46,42,18,1347,94*,56.12,1092,123.35,,9,3,109,35
JW Jenner (JER),2019-2025,53,53,10,1332,96*,30.97,971,137.17,,7,5,108,51
Aqib Ilyas (OMA),2015-2024,56,55,7,1330,90,27.7,1092,121.79,,10,4,125,44
MH Cross (SCOT),2013-2025,80,68,11,1328,66*,23.29,1149,115.57,,5,5,123,33
O Tuyisenge (RWN),2021-2024,85,81,4,1323,100*,17.18,1271,104.09,1,3,11,131,32
K Motlhanka (BOT),2019-2024,53,51,5,1317,84,28.63,1214,108.48,,8,2,143,25
Razmal Shigiwal (AUT),2019-2025,55,49,8,1301,95*,31.73,926,140.49,,8,4,107,55
IA Karim (KENYA),2013-2024,64,54,17,1291,71*,34.89,1287,100.31,,8,2,113,15
FH Allen (NZ),2021-2025,52,52,1,1285,137,25.19,787,163.27,2,5,5,113,89
HM Amla (SA/World),2009-2018,44,44,6,1277,97*,33.6,967,132.05,,8,2,146,26
A Vala (PNG),2015-2024,63,60,9,1274,93*,24.98,1093,116.55,,8,1,116,38
GC Wilson (IRE),2008-2020,81,68,8,1268,65*,21.13,1212,104.62,,3,4,108,20
HE van der Dussen (SA),2018-2024,50,46,9,1257,94*,33.97,971,129.45,,9,2,73,60
AR Patwa (TAN),2021-2024,52,52,5,1256,79,26.72,1034,121.47,,6,3,149,39
DJ Bravo (WI),2006-2021,91,74,17,1255,66*,22.01,1091,115.03,,4,5,73,55
KIC Asalanka (SL),2021-2025,58,57,6,1247,80*,24.45,970,128.55,,6,7,85,60
MP Stoinis (AUS),2015-2024,74,61,22,1245,78,31.92,838,148.56,,5,2,99,63
BN Cooper (NED),2013-2021,58,55,11,1239,91*,28.15,993,124.77,,9,7,118,38
CS MacLeod (SCOT),2009-2022,64,61,9,1238,74,23.8,1115,111.03,,7,8,107,23
MM Ali (ENG),2014-2024,92,75,17,1229,72*,21.18,863,142.41,,7,9,88,68
R Satheesan (ROM),2019-2025,42,39,6,1216,99*,36.84,788,154.31,,9,4,123,62
RR Pant (IND),2017-2024,76,66,14,1209,65*,23.25,950,127.26,,3,4,111,44
W Madhevere (ZIM),2020-2025,76,71,8,1206,73*,19.14,1041,115.85,,7,7,133,16
